transaction_id,user_id,receiver_id,receiver_type,amount,timestamp,date,hour_of_day,day_of_week,is_weekend,is_night_transaction,time_since_last_txn_min,transaction_type,payment_app,device_type,status,user_city_tier,user_kyc_status,user_avg_monthly_txn,user_avg_txn_value,user_loyalty_score,new_device_flag,ip_location_mismatch,failed_attempts_last_24h,transaction_velocity,amount_deviation_score,is_fraud,recurring_payment_flag,balance_after_transaction,transaction_frequency_score
TXN0013171,USR01949,MRC0069,Merchant,1533.88,2024-01-01 00:21:17,2024-01-01,0,Monday,0,1,-30240.6,EMI,Paytm,Android,Success,Tier 2,Verified,36,472.44,0.194,0,0,2,0.0,2.2467,0,1,36023.96,0.72
TXN0006480,USR01975,MRC0048,Merchant,1371.57,2024-01-01 00:36:29,2024-01-01,0,Monday,0,1,-351322.38,P2M,Paytm,Web,Success,Tier 2,Verified,34,629.94,0.213,0,0,0,4.0,1.1773,0,0,65138.89,0.68
TXN0001430,USR01127,MRC0312,Merchant,500.5,2024-01-01 00:47:46,2024-01-01,0,Monday,0,1,-60756.05,Subscription,Amazon Pay,iOS,Success,Tier 1,Verified,43,436.3,0.381,0,0,0,1.0,0.1471,0,1,69347.11,0.86
TXN0003501,USR00827,USR01877,User,724.05,2024-01-01 00:52:07,2024-01-01,0,Monday,0,1,-262998.52,P2P,WhatsApp Pay,Android,Success,Tier 1,Verified,62,278.28,0.238,0,0,1,0.0,1.6019,0,0,52305.43,1.0
TXN0004423,USR00673,USR00534,User,128.22,2024-01-01 01:22:31,2024-01-01,1,Monday,0,1,-418835.0,P2P,GPay,iOS,Success,Tier 3,Verified,24,185.17,0.187,0,0,5,1.0,0.3076,0,0,9601.13,0.48
TXN0000496,USR00081,MRC0315,Merchant,650.65,2024-01-01 01:59:10,2024-01-01,1,Monday,0,1,,P2M,Paytm,iOS,Success,Tier 1,Verified,77,705.43,0.826,0,0,0,0.0,0.0777,0,0,9049.31,1.0
TXN0015575,USR01737,MRC0267,Merchant,1572.38,2024-01-01 02:28:38,2024-01-01,2,Monday,0,1,-34061.52,Recharge,PhonePe,Web,Success,Tier 1,Verified,68,1189.92,0.256,0,0,1,2.0,0.3214,0,0,78567.12,1.0
TXN0018128,USR00432,MRC0138,Merchant,1266.2,2024-01-01 02:28:44,2024-01-01,2,Monday,0,1,-35453.3,P2M,GPay,Android,Success,Tier 1,Verified,32,665.39,0.981,0,0,0,0.0,0.9029,0,0,75070.54,0.64
TXN0002096,USR00239,USR01597,User,1547.49,2024-01-01 03:00:14,2024-01-01,3,Monday,0,1,-249761.9,P2P,PhonePe,Android,Success,Tier 1,Verified,53,1866.71,0.186,0,0,0,0.0,0.171,0,0,69923.05,1.0
TXN0006094,USR00546,MRC0157,Merchant,324.7,2024-01-01 04:07:50,2024-01-01,4,Monday,0,1,-386261.98,EMI,PhonePe,Android,Success,Tier 1,Verified,50,547.49,0.629,0,0,0,1.0,0.4069,0,1,17733.39,1.0
TXN0018909,USR00949,MRC0202,Merchant,356.43,2024-01-01 04:53:34,2024-01-01,4,Monday,0,1,-432072.18,Recharge,Paytm,Android,Failed,Tier 3,Verified,25,439.53,0.457,0,0,0,0.0,0.1891,0,0,21099.56,0.5
TXN0010850,USR00460,MRC0332,Merchant,669.85,2024-01-01 05:19:12,2024-01-01,5,Monday,0,1,-108475.2,EMI,GPay,Android,Success,Tier 2,Verified,41,1429.15,0.307,0,0,0,0.0,0.5313,0,1,72412.79,0.82
TXN0008216,USR01026,MRC0359,Merchant,124.12,2024-01-01 05:28:27,2024-01-01,5,Monday,0,1,-623.77,Bill Payment,PhonePe,iOS,Success,Tier 3,Not Verified,19,302.59,0.572,0,0,0,0.0,0.5898,0,1,61947.02,0.38
TXN0010236,USR00103,USR01239,User,694.74,2024-01-01 05:48:44,2024-01-01,5,Monday,0,1,-157575.68,P2P,GPay,Android,Success,Tier 1,Verified,32,210.69,0.588,0,0,0,0.0,2.2975,0,0,59933.14,0.64
TXN0012343,USR00416,MRC0311,Merchant,508.83,2024-01-01 06:15:50,2024-01-01,6,Monday,0,0,-231877.65,Bill Payment,Paytm,Web,Failed,Tier 2,Verified,37,885.55,0.675,0,0,0,1.0,0.4254,0,1,41440.83,0.74
TXN0004327,USR01923,MRC0339,Merchant,190.29,2024-01-01 06:17:54,2024-01-01,6,Monday,0,0,-259588.95,Recharge,GPay,Android,Success,Tier 2,Verified,32,651.35,0.663,0,0,0,0.0,0.7079,0,0,50993.63,0.64
TXN0011406,USR00106,MRC0129,Merchant,733.11,2024-01-01 06:18:47,2024-01-01,6,Monday,0,0,-208541.82,P2M,PhonePe,iOS,Success,Tier 3,Verified,18,597.7,0.958,0,0,0,0.0,0.2266,0,0,19155.86,0.36
TXN0012075,USR00208,MRC0319,Merchant,80.28,2024-01-01 07:37:08,2024-01-01,7,Monday,0,0,-105882.27,Recharge,PhonePe,iOS,Success,Tier 2,Verified,24,228.59,0.168,0,0,0,2.0,0.6488,0,0,12256.04,0.48
TXN0001863,USR01490,MRC0112,Merchant,160.1,2024-01-01 07:54:30,2024-01-01,7,Monday,0,0,,Bill Payment,Amazon Pay,iOS,Success,Tier 2,Not Verified,14,434.16,0.514,0,0,0,0.0,0.6312,0,1,54893.73,0.28
TXN0013119,USR01264,MRC0280,Merchant,3315.61,2024-01-01 08:04:12,2024-01-01,8,Monday,0,0,-19908.52,P2M,PhonePe,Android,Success,Tier 2,Verified,45,2201.14,0.175,0,0,0,0.0,0.5063,0,0,78912.29,0.9
TXN0003448,USR00189,MRC0132,Merchant,273.43,2024-01-01 09:24:32,2024-01-01,9,Monday,0,0,,P2M,BHIM,Android,Success,Tier 3,Verified,23,280.96,0.725,0,0,0,0.0,0.0268,0,0,41045.37,0.46
TXN0004934,USR01522,MRC0245,Merchant,2398.1,2024-01-01 09:42:14,2024-01-01,9,Monday,0,0,,P2M,Paytm,Android,Success,Tier 2,Verified,15,1271.45,0.106,0,0,0,0.0,0.8861,0,0,51911.33,0.3
TXN0013293,USR00859,MRC0131,Merchant,526.26,2024-01-01 09:50:04,2024-01-01,9,Monday,0,0,-59844.7,Bill Payment,Paytm,Web,Success,Tier 2,Verified,30,843.18,0.311,0,0,0,0.0,0.3759,0,1,77998.97,0.6
TXN0017434,USR00709,MRC0208,Merchant,2783.94,2024-01-01 10:19:29,2024-01-01,10,Monday,0,0,-154583.57,P2M,GPay,iOS,Success,Tier 1,Not Verified,40,862.72,0.802,0,0,1,0.0,2.2269,0,0,17157.69,0.8
TXN0001222,USR01571,USR00592,User,267.19,2024-01-01 10:31:09,2024-01-01,10,Monday,0,0,-10262.63,P2P,PhonePe,Web,Success,Tier 3,Not Verified,18,279.97,0.876,0,0,0,0.0,0.0456,0,0,6067.21,0.36
TXN0018200,USR01659,MRC0026,Merchant,577.16,2024-01-01 10:35:45,2024-01-01,10,Monday,0,0,-389398.52,P2M,GPay,iOS,Success,Tier 1,Verified,32,1428.01,0.283,1,0,1,0.0,0.5958,1,0,64051.65,0.64
TXN0018960,USR00943,MRC0249,Merchant,501.83,2024-01-01 10:47:37,2024-01-01,10,Monday,0,0,-12238.35,EMI,PhonePe,Android,Failed,Tier 3,Verified,20,255.03,0.677,1,0,0,0.0,0.9677,0,1,38907.39,0.4
TXN0005119,USR01700,MRC0232,Merchant,864.62,2024-01-01 10:52:33,2024-01-01,10,Monday,0,0,-196876.15,P2M,GPay,Web,Success,Tier 2,Verified,28,816.94,0.195,0,0,0,0.0,0.0584,0,0,31092.19,0.56
TXN0002250,USR01752,MRC0119,Merchant,1236.92,2024-01-01 11:15:11,2024-01-01,11,Monday,0,0,-324184.98,P2M,GPay,Android,Pending,Tier 1,Verified,39,2325.78,0.671,1,0,0,0.0,0.4682,0,0,68368.71,0.78
TXN0001165,USR01148,MRC0280,Merchant,338.6,2024-01-01 11:23:37,2024-01-01,11,Monday,0,0,-479180.73,P2M,Paytm,Android,Success,Tier 1,Verified,39,388.52,0.408,0,0,0,0.0,0.1285,0,0,34066.54,0.78
TXN0000745,USR01508,MRC0336,Merchant,427.09,2024-01-01 11:31:15,2024-01-01,11,Monday,0,0,,Bill Payment,GPay,iOS,Pending,Tier 2,Verified,23,359.73,0.82,0,0,0,0.0,0.1873,0,1,55717.57,0.46
TXN0015461,USR00009,USR01056,User,2078.09,2024-01-01 11:36:51,2024-01-01,11,Monday,0,0,-280472.25,P2P,GPay,Android,Success,Tier 1,Verified,52,1447.92,0.846,0,0,0,0.0,0.4352,0,0,61380.18,1.0
TXN0007601,USR00234,USR00331,User,395.26,2024-01-01 11:43:49,2024-01-01,11,Monday,0,0,-481604.8,P2P,Paytm,Android,Success,Tier 1,Verified,54,634.28,0.39,0,0,1,1.0,0.3768,0,0,1467.34,1.0
TXN0001660,USR00609,MRC0017,Merchant,597.7,2024-01-01 12:00:45,2024-01-01,12,Monday,0,0,,Bill Payment,GPay,iOS,Success,Tier 3,Verified,21,346.92,0.321,0,1,1,0.0,0.7229,0,1,9707.85,0.42
TXN0002677,USR00179,MRC0181,Merchant,1475.24,2024-01-01 12:11:27,2024-01-01,12,Monday,0,0,,EMI,GPay,Android,Success,Tier 1,Not Verified,49,713.61,0.87,0,0,0,4.0,1.0673,0,1,2830.47,0.98
TXN0013422,USR01238,MRC0393,Merchant,1021.92,2024-01-01 12:12:37,2024-01-01,12,Monday,0,0,-365363.97,Subscription,GPay,Android,Success,Tier 1,Verified,32,917.0,0.813,0,0,1,0.0,0.1144,0,1,53660.1,0.64
TXN0019666,USR01949,MRC0018,Merchant,996.22,2024-01-01 12:39:29,2024-01-01,12,Monday,0,0,-75022.1,Bill Payment,Paytm,Android,Failed,Tier 2,Verified,36,472.44,0.194,0,0,0,2.0,,0,1,35096.64,0.72
TXN0010646,USR01137,MRC0125,Merchant,380.29,2024-01-01 13:37:40,2024-01-01,13,Monday,0,0,-3215.63,P2M,GPay,iOS,Success,Tier 2,Verified,37,546.45,0.931,0,0,0,0.0,0.3041,0,0,24308.17,0.74
TXN0008925,USR01947,MRC0204,Merchant,807.91,2024-01-01 14:37:47,2024-01-01,14,Monday,0,0,-151518.32,Recharge,Amazon Pay,Web,Success,Tier 1,Verified,32,914.87,0.26,1,1,0,0.0,0.1169,0,0,29054.71,0.64
TXN0006661,USR00791,MRC0237,Merchant,1503.13,2024-01-01 14:44:28,2024-01-01,14,Monday,0,0,-124695.02,P2M,GPay,Web,Success,Tier 1,Verified,39,1792.24,0.144,1,0,1,2.0,0.1613,0,0,33501.61,0.78
TXN0005659,USR01365,MRC0244,Merchant,192.12,2024-01-01 15:19:40,2024-01-01,15,Monday,0,0,-496452.27,Recharge,GPay,Android,Success,Tier 2,Verified,35,462.47,0.394,0,0,1,0.0,0.5846,0,0,23398.65,0.7
TXN0019505,USR01986,MRC0362,Merchant,348.29,2024-01-01 15:51:38,2024-01-01,15,Monday,0,0,-142507.1,P2M,PhonePe,Android,Success,Tier 2,Verified,26,528.91,0.907,0,0,5,0.0,0.3415,0,0,77244.13,0.52
TXN0007046,USR01026,MRC0049,Merchant,218.78,2024-01-01 15:52:13,2024-01-01,15,Monday,0,0,-103121.32,EMI,Paytm,iOS,Success,Tier 3,Not Verified,19,302.59,0.572,0,0,0,2.0,,0,1,43946.72,0.38
TXN0017390,USR01853,MRC0261,Merchant,326.73,2024-01-01 16:13:13,2024-01-01,16,Monday,0,0,-369096.45,Recharge,PhonePe,Android,Success,Tier 2,Verified,35,116.06,0.894,0,0,0,1.0,1.8152,0,0,44587.36,0.7
TXN0017471,USR00041,MRC0218,Merchant,1437.97,2024-01-01 16:29:12,2024-01-01,16,Monday,0,0,-55802.57,P2M,GPay,Android,Success,Tier 1,Verified,34,2303.11,0.405,0,0,0,0.0,0.3756,0,0,50168.96,0.68
TXN0018684,USR01290,USR00787,User,1323.85,2024-01-01 17:08:28,2024-01-01,17,Monday,0,0,-47896.27,P2P,Paytm,iOS,Success,Tier 1,Verified,31,635.76,0.435,1,0,1,,1.0823,0,0,8287.31,0.62
TXN0002044,USR00619,MRC0228,Merchant,367.77,2024-01-01 17:31:54,2024-01-01,17,Monday,0,0,-514872.47,P2M,GPay,Android,Success,Tier 3,Verified,16,916.43,0.248,0,0,0,1.0,0.5987,0,0,35844.77,0.32
TXN0019102,USR01759,MRC0061,Merchant,355.41,2024-01-01 17:44:17,2024-01-01,17,Monday,0,0,-482838.37,P2M,WhatsApp Pay,Android,Success,Tier 1,Verified,47,351.94,0.328,1,0,0,0.0,0.0099,0,0,60858.93,0.94
TXN0001080,USR01127,MRC0364,Merchant,154.58,2024-01-01 17:48:42,2024-01-01,17,Monday,0,0,,Subscription,PhonePe,iOS,Success,Tier 1,Verified,43,436.3,0.381,0,0,0,0.0,0.6457,0,1,14087.83,0.86
TXN0015350,USR00771,MRC0092,Merchant,669.91,2024-01-01 17:53:15,2024-01-01,17,Monday,0,0,-19696.33,Recharge,PhonePe,Android,Failed,Tier 2,Verified,30,553.56,0.719,0,0,5,0.0,0.2102,0,0,9313.09,0.6
TXN0006294,USR01597,MRC0357,Merchant,1051.16,2024-01-01 17:59:24,2024-01-01,17,Monday,0,0,-516419.18,Subscription,GPay,Android,Success,Tier 1,Verified,42,986.4,0.418,0,0,0,0.0,0.0657,0,1,38006.57,0.84
TXN0003933,USR00570,MRC0084,Merchant,873.14,2024-01-01 18:15:20,2024-01-01,18,Monday,0,0,-320299.85,P2M,Paytm,Android,Success,Tier 2,Verified,22,544.96,0.758,0,0,0,3.0,0.6022,0,0,41750.85,0.44
